"CorpusFile","Id","SyncJobId","OriginalName","OriginalPath","OriginalError","Checksum"
"4426_PMSN_QLB_157_VJT438H_25JUL2026.docx","4426","1899","PMSN QLB 157 VJT438H 25JUL2026.docx","D:\vatm-storage\error\2026\08\04\hiepdongbay_20260804_001154_email_010_PMSN_QLB_157_VJT438H_25JUL2026.docx","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_FPAUTHOR.AUTHOR_CODE=VATM.","0c6f77abc79829884562a2ee37dc0620a57ed143b00332281e903a47a046b132"
"4425_PMSN_QLB_156_VJT255_26JUL2026.docx","4425","1898","PMSN QLB 156 VJT255 26JUL2026.docx","D:\vatm-storage\error\2026\08\04\hiepdongbay_20260804_001151_email_009_PMSN_QLB_156_VJT255_26JUL2026.docx","Không tìm thấy bảng lịch bay theo format vjt-inline-overflight-issued; missing required fields: serviceDays (accepted headers: Days of services | Day(s) of services).","80d0b49d56b2676f698e8a84a6733bf4cacf83b4345550663595a078a73af118"
"4424_PMSN_QLB_155_CPA652D_23JUL2026.docx","4424","1897","PMSN QLB 155 CPA652D 23JUL2026.docx","D:\vatm-storage\error\2026\08\04\hiepdongbay_20260804_001150_email_008_PMSN_QLB_155_CPA652D_23JUL2026.docx","Ngày bắt đầu hiệu lực không hợp lệ: 23Jul2026.","1477e665e0105a5d4f1a99385fb68567d0e837d8cd9117421517aa8518769a46"
"4423_PMSN_QLB_141_VPCTS_05JUL2026.docx","4423","1896","PMSN QLB 141 VPCTS 05JUL2026.docx","D:\vatm-storage\error\2026\08\04\hiepdongbay_20260804_001149_email_007_PMSN_QLB_141_VPCTS_05JUL2026.docx","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_FPAUTHOR.AUTHOR_CODE=VATM.","59bb5973c31c59856aafb4e5d57a8f56b04fe1b716afe98deb995ad19cb82e8d"
"4422_PMSN_QLB_140_CSN2988_04JUL2026.docx","4422","1895","PMSN QLB 140 CSN2988 04JUL2026.docx","D:\vatm-storage\error\2026\08\04\hiepdongbay_20260804_001147_email_006_PMSN_QLB_140_CSN2988_04JUL2026.docx","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_FPAUTHOR.AUTHOR_CODE=VATM.","fa45ac514fb03cacf0325cd5a6405bb63140188e0d960ca4464e434c747a712d"
"4419_Application_VJT255_26JUL2026.docx","4419","1892","Application VJT255 26JUL2026.docx","D:\vatm-storage\error\2026\08\04\hiepdongbay_20260804_001142_email_003_Application_VJT255_26JUL2026.docx","Không tìm thấy bảng lịch bay theo format vjt-inline-overflight-issued; missing required fields: serviceDays (accepted headers: Days of services | Day(s) of services).","41fb04b5491c65993fd8ffc71f1a35dd52714621919ace8afe15df4cc6b058ce"
"4418_Application_SU7775_03AUG.docx","4418","1880","Application SU7775 03AUG.docx","D:\vatm-storage\error\2026\08\03\hiepdongbay_20260803_220159_email_000_Application_SU7775_03AUG.docx","Không hỗ trợ định dạng giấy phép bay Word này; không có format YAML nào phù hợp.","56588bf19a0674f52e175d1a78fee5c7279b086a3611aa0eb0f12b1a4e4ba9cc"
"4416_Application_CPA652D_23JUL2026.docx","4416","1890","Application CPA652D 23JUL2026.docx","D:\vatm-storage\error\2026\08\04\hiepdongbay_20260804_001138_email_000_Application_CPA652D_23JUL2026.docx","Không hỗ trợ định dạng giấy phép bay Word này; không có format YAML nào phù hợp.","f5d344f29f0554607addafaa0d4ddcae06ebaf0f0576706187c8557302c31d29"
"4414_LD-83_A_S_2026VN.RVS.22JUL26.docx","4414","1888","LD-83_A_S_2026VN.RVS.22JUL26.docx","D:\vatm-storage\error\2026\08\03\pactrifmilo2_20260803_232638_email_005_LD-83_A_S_2026VN.RVS.22JUL26.docx","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 2300A/S/CHK/2026","f9804869b6549c96eec8d4c7b687b8fc1321f7994f95bfd4e6b5d7866d4793f0"
"4411_LD-06.A.S.2026VN.REV8.docx","4411","1886","LD-06.A.S.2026VN.REV8.docx","D:\vatm-storage\error\2026\08\03\pactrifmilo2_20260803_232633_email_002_LD-06.A.S.2026VN.REV8.docx","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD-06/A/S/2026","97e5bf2a7144105e6f6f52848f4d4d4ecc5540870ef979235e36347c9b189c6b"
